name, description, website, write-up 

Block Shibe, BlockShibe is a web app that tracks Dogecoin block statistics in real time, https://blockshibe.net/, -

SuchList, A marketplace where you can buy and sell things for Dogecoin, https://web.archive.org/web/20140625124523/https://suchlist.com/, -

MuchMarket, Buy and sell things for Dogecoin, https://web.archive.org/web/20150303081403/http://muchmarket.com/, -
